Face 1, [Node 3500] nan nan nan nan nan nan nan nan 

  Angle       Time     IS     IA     IP     AS     AA     AP   IS+IA   IS+IA+IP   AS+AA   AS+AA+AP
   0.00       0.00   0.00   0.11   0.45   0.00   0.01   0.30    0.11       0.57    0.01       0.31
  18.00    4311.99   0.00   0.89   1.56   0.00   0.09   1.03    0.89       2.45    0.09       1.12
  36.00    8623.99   0.00   2.01   2.29   0.00   0.20   1.51    2.01       4.31    0.20       1.71
  54.00   12935.98   0.00   2.78   2.67   0.00   0.28   1.76    2.78       5.44    0.28       2.04
  72.00   17247.97   0.00   3.86   3.25   0.00   0.39   2.15    3.86       7.11    0.39       2.53
  90.00   21559.97   0.00   3.59   3.08   0.00   0.36   2.03    3.59       6.67    0.36       2.39
 108.00   25871.96   0.00   2.86   2.72   0.00   0.29   1.79    2.86       5.58    0.29       2.08
 126.00   30183.95   0.00   1.81   2.19   0.00   0.18   1.45    1.81       4.01    0.18       1.63
 144.00   34495.95   0.00   0.87   1.46   0.00   0.09   0.96    0.87       2.33    0.09       1.05
 162.00   38807.94   0.00   0.13   0.45   0.00   0.01   0.30    0.13       0.58    0.01       0.31
 180.00   43119.93   0.00   0.00   0.08   0.00   0.00   0.05    0.00       0.08    0.00       0.05
 198.00   47431.93   0.00   0.01   0.04   0.00   0.00   0.03    0.01       0.04    0.00       0.03
 216.00   51743.92   0.00   0.00   0.05   0.00   0.00   0.03    0.00       0.05    0.00       0.03
 234.00   56055.92   0.00   0.00   0.07   0.00   0.00   0.05    0.00       0.07    0.00       0.05
 252.00   60367.91   0.00   0.00   0.07   0.00   0.00   0.04    0.00       0.07    0.00       0.04
 270.00   64679.90   0.00   0.00   0.08   0.00   0.00   0.05    0.00       0.08    0.00       0.05
 288.00   68991.90   0.00   0.00   0.11   0.00   0.00   0.07    0.00       0.11    0.00       0.07
 306.00   73303.89   0.00   0.00   0.06   0.00   0.00   0.04    0.00       0.06    0.00       0.04
 324.00   77615.88   0.00   0.01   0.08   0.00   0.00   0.05    0.01       0.08    0.00       0.05
 342.00   81927.88   0.00   0.01   0.05   0.00   0.00   0.03    0.01       0.05    0.00       0.03
 360.00   86239.87   0.00   0.11   0.45   0.00   0.01   0.30    0.11       0.57    0.01       0.31
                                                                                                  
Average              0.00   0.95   1.04   0.00   0.09   0.69    0.95       1.99    0.09       0.78


Face 3, [Node 3501] nan nan nan nan nan nan nan nan 

  Angle       Time       IS     IA     IP      AS     AA     AP    IS+IA   IS+IA+IP   AS+AA   AS+AA+AP
   0.00       0.00   853.12   0.05   0.07   85.31   0.00   0.05   853.17     853.24   85.32      85.36
  18.00    4311.99   853.12   0.02   0.07   85.31   0.00   0.04   853.14     853.21   85.31      85.36
  36.00    8623.99   853.12   0.04   0.05   85.31   0.00   0.03   853.16     853.21   85.32      85.35
  54.00   12935.98   853.12   0.13   0.11   85.31   0.01   0.07   853.25     853.36   85.33      85.40
  72.00   17247.97   853.12   0.15   0.12   85.31   0.02   0.08   853.27     853.39   85.33      85.40
  90.00   21559.97   853.12   0.14   0.10   85.31   0.01   0.07   853.27     853.37   85.33      85.39
 108.00   25871.96   853.12   0.14   0.14   85.31   0.01   0.09   853.27     853.40   85.33      85.42
 126.00   30183.95   853.12   0.05   0.04   85.31   0.00   0.03   853.17     853.22   85.32      85.35
 144.00   34495.95   853.12   0.05   0.06   85.31   0.01   0.04   853.18     853.24   85.32      85.36
 162.00   38807.94   853.12   0.02   0.03   85.31   0.00   0.02   853.14     853.17   85.31      85.33
 180.00   43119.93   853.12   0.17   0.51   85.31   0.02   0.33   853.29     853.80   85.33      85.66
 198.00   47431.93   853.12   0.21   1.39   85.31   0.02   0.91   853.34     854.72   85.33      86.25
 216.00   51743.92   853.12   0.10   2.27   85.31   0.01   1.50   853.22     855.49   85.32      86.82
 234.00   56055.92   853.12   0.02   2.77   85.31   0.00   1.83   853.15     855.92   85.31      87.15
 252.00   60367.91   853.12   0.00   3.38   85.31   0.00   2.23   853.12     856.50   85.31      87.54
 270.00   64679.90   853.12   0.00   3.19   85.31   0.00   2.11   853.12     856.32   85.31      87.42
 288.00   68991.90   853.12   0.02   2.81   85.31   0.00   1.85   853.15     855.95   85.31      87.17
 306.00   73303.89   853.12   0.12   2.37   85.31   0.01   1.57   853.24     855.61   85.32      86.89
 324.00   77615.88   853.12   0.18   1.56   85.31   0.02   1.03   853.30     854.86   85.33      86.36
 342.00   81927.88   853.12   0.23   0.43   85.31   0.02   0.28   853.35     853.78   85.33      85.62
 360.00   86239.87   853.12   0.05   0.07   85.31   0.00   0.05   853.17     853.24   85.32      85.36
                                                                                                      
Average              853.12   0.09   1.07   85.31   0.01   0.71   853.22     854.29   85.32      86.03


Face 5, [Node 3502] nan nan nan nan nan nan nan nan 

  Angle       Time     IS     IA     IP     AS     AA     AP   IS+IA   IS+IA+IP   AS+AA   AS+AA+AP
   0.00       0.00   0.00   0.10   0.46   0.00   0.01   0.30    0.10       0.56    0.01       0.31
  18.00    4311.99   0.00   1.00   1.70   0.00   0.10   1.12    1.00       2.70    0.10       1.22
  36.00    8623.99   0.00   1.87   2.31   0.00   0.19   1.52    1.87       4.18    0.19       1.71
  54.00   12935.98   0.00   2.96   2.86   0.00   0.30   1.89    2.96       5.82    0.30       2.19
  72.00   17247.97   0.00   3.61   3.09   0.00   0.36   2.04    3.61       6.70    0.36       2.40
  90.00   21559.97   0.00   3.85   3.21   0.00   0.39   2.12    3.85       7.07    0.39       2.51
 108.00   25871.96   0.00   3.02   2.86   0.00   0.30   1.89    3.02       5.87    0.30       2.19
 126.00   30183.95   0.00   1.96   2.28   0.00   0.20   1.51    1.96       4.24    0.20       1.70
 144.00   34495.95   0.00   0.89   1.40   0.00   0.09   0.92    0.89       2.28    0.09       1.01
 162.00   38807.94   0.00   0.10   0.52   0.00   0.01   0.35    0.10       0.62    0.01       0.36
 180.00   43119.93   0.00   0.00   0.05   0.00   0.00   0.03    0.00       0.05    0.00       0.03
 198.00   47431.93   0.00   0.00   0.07   0.00   0.00   0.05    0.00       0.08    0.00       0.05
 216.00   51743.92   0.00   0.00   0.06   0.00   0.00   0.04    0.00       0.06    0.00       0.04
 234.00   56055.92   0.00   0.00   0.11   0.00   0.00   0.07    0.00       0.11    0.00       0.07
 252.00   60367.91   0.00   0.00   0.07   0.00   0.00   0.04    0.00       0.07    0.00       0.04
 270.00   64679.90   0.00   0.00   0.10   0.00   0.00   0.07    0.00       0.10    0.00       0.07
 288.00   68991.90   0.00   0.00   0.07   0.00   0.00   0.04    0.00       0.07    0.00       0.04
 306.00   73303.89   0.00   0.00   0.08   0.00   0.00   0.05    0.00       0.08    0.00       0.05
 324.00   77615.88   0.00   0.01   0.06   0.00   0.00   0.04    0.01       0.06    0.00       0.04
 342.00   81927.88   0.00   0.00   0.02   0.00   0.00   0.02    0.00       0.03    0.00       0.02
 360.00   86239.87   0.00   0.10   0.46   0.00   0.01   0.30    0.10       0.56    0.01       0.31
                                                                                                  
Average              0.00   0.97   1.07   0.00   0.10   0.71    0.97       2.04    0.10       0.80


Face 7, [Node 3503] nan nan nan nan nan nan nan nan 

  Angle       Time       IS     IA     IP      AS     AA     AP    IS+IA   IS+IA+IP   AS+AA   AS+AA+AP
   0.00       0.00   833.86   0.01   0.01   83.39   0.00   0.00   833.86     833.87   83.39      83.39
  18.00    4311.99   833.86   0.04   0.05   83.39   0.00   0.03   833.90     833.95   83.39      83.42
  36.00    8623.99   833.86   0.07   0.08   83.39   0.01   0.05   833.93     834.01   83.39      83.45
